Disease_Name,Disease_Description,Prevention_Methods,Cure_Methods
Apple scab,"Apple scab is a fungal disease caused by Venturia inaequalis that infects young leaves, blossoms, and fruit. Olive-green to dark, velvety lesions develop on leaves and can lead to curling and premature leaf drop. Fruit may show corky, cracked spots that reduce quality and storability. The pathogen overwinters in fallen leaves and releases spores during cool, wet spring weather, so orchards with prolonged leaf wetness are at highest risk.",Remove and destroy fallen leaves and mummified fruit to reduce overwintering inoculum; Prune for airflow and faster drying; avoid overhead irrigation during susceptible periods; Use resistant or tolerant cultivars when available; Apply protectant fungicides at green tip through early fruit set during wet weather; Monitor weather-based infection periods and time sprays accordingly,"Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Apple Black rot,"Black rot is a fungal disease (commonly Botryosphaeria species on fruit crops) that causes leaf spots, fruit rot, and cankers on woody tissue. Symptoms often include circular leaf lesions with dark margins, fruit that develops brown rot progressing to black, shriveled ‘mummies’, and limb cankers that weaken branches. Infection is favored by warm, humid conditions and is often worse where pruning wounds and dead wood provide entry points.",Prune out dead wood and cankers during dry weather; disinfect tools between trees; Remove mummified fruit from the canopy and ground; Improve canopy ventilation through pruning and spacing; Avoid tree stress with balanced nutrition and irrigation management; Use labeled fungicides timed around bloom and pre-harvest in high-pressure seasons,Prune out cankers; remove mummified fruit; sanitize tools; apply appropriate fungicides timed to infection periods; maintain tree vigor and avoid wounding.
Apple Cedar apple rust,"Cedar apple rust is a fungal disease caused by Gymnosporangium juniperi-virginianae that alternates between apple/crabapple and juniper hosts. On apple leaves it produces yellow-orange spots that may develop raised pustules on the underside, and fruit can show deformed lesions. Disease pressure increases when susceptible apples are near infected junipers, especially during wet spring weather when orange gelatinous galls on junipers release spores.",Plant resistant apple cultivars where rust is common; Remove nearby infected junipers or prune out galls before spring spore release; Maintain good airflow in orchards to reduce leaf wetness duration; Apply preventive fungicides from pink through petal fall when wet weather is forecast; Avoid overhead irrigation during peak infection risk,Remove infected leaves where practical; avoid wet foliage; increase airflow; apply labeled fungicides if severe; remove alternate hosts if relevant.
Apple healthy,"Apple is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Blueberry healthy,"Blueberry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Cherry Powdery mildew,"Powdery mildew is a fungal disease caused by several species that forms a white, powdery growth on leaves, shoots, and sometimes fruit. Infected leaves may curl, become distorted, and senesce early, reducing photosynthesis and yield. Unlike many foliar fungi, powdery mildew can develop under moderate humidity without free water and often worsens in dense canopies with poor airflow. Susceptible varieties and repeated flushes of tender growth increase risk.","Choose resistant varieties when available and avoid excessive nitrogen that drives lush growth; Prune or thin plants to improve airflow and light penetration; Remove heavily infected plant parts early to reduce spore sources; Use sulfur, potassium bicarbonate, or labeled fungicides preventively when disease pressure rises; Irrigate at the base and manage humidity in protected cultivation",Remove heavily infected tissue; improve airflow; avoid excess nitrogen; apply labeled sulfur or potassium bicarbonate products; rotate fungicide modes of action if fungicides are used.
Cherry healthy,"Cherry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Corn Cercospora leaf spot Gray leaf spot,"Gray leaf spot of corn, caused by Cercospora zeae-maydis and related species, produces rectangular, gray to tan lesions bounded by leaf veins. Severe infections reduce green leaf area during grain fill, leading to yield loss and stalk lodging. The fungus survives on corn residue and is favored by warm temperatures, high humidity, and extended leaf wetness, particularly in continuous corn and reduced-tillage systems.",Rotate away from corn and manage residue with tillage where appropriate; Plant hybrids with improved tolerance or resistance; Use balanced fertility and avoid plant stress that increases susceptibility; Scout at tasseling and apply labeled fungicides if thresholds and weather risk are high; Improve airflow with appropriate plant populations and row spacing,Remove infected leaves; improve airflow; rotate crops; avoid overhead irrigation; apply labeled fungicides where warranted and rotate modes of action.
Corn Common rust,"Common rust of corn, caused by Puccinia sorghi, appears as cinnamon-brown, raised pustules on both leaf surfaces that release powdery spores. Infections can reduce photosynthesis and, when severe early, reduce yield. The disease is favored by cool to mild temperatures and frequent dew. Spores are windborne and can spread quickly across fields, with severity influenced by hybrid susceptibility and local weather patterns.","Plant rust-resistant or tolerant hybrids; Monitor fields regularly, especially early in the season during cool, humid periods; Avoid overly dense stands that prolong leaf wetness; Apply labeled fungicides when disease is increasing and economic thresholds are met; Manage volunteer corn and grassy hosts around fields when feasible",Remove infected leaves where practical; avoid wet foliage; increase airflow; apply labeled fungicides if severe; remove alternate hosts if relevant.
Corn Northern Leaf Blight,"Northern corn leaf blight, caused by Exserohilum turcicum, produces long, cigar-shaped gray-green lesions that expand and coalesce, reducing functional leaf area. Severe outbreaks before or during tasseling can substantially reduce yield and predispose plants to lodging. The pathogen survives on infected residue and spreads by wind and rain splash. Warm temperatures, high humidity, and extended leaf wetness favor infection and lesion development.","Use resistant hybrids and rotate crops to reduce inoculum; Bury or manage infected residue where agronomically appropriate; Scout fields from V8 through tasseling, especially after humid weather; Apply labeled fungicides at VT-R1 if disease pressure is high and the hybrid is susceptible; Optimize plant nutrition to avoid stress and improve standability","Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Corn healthy,"Corn is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Grape Black rot,"Black rot is a fungal disease (commonly Botryosphaeria species on fruit crops) that causes leaf spots, fruit rot, and cankers on woody tissue. Symptoms often include circular leaf lesions with dark margins, fruit that develops brown rot progressing to black, shriveled ‘mummies’, and limb cankers that weaken branches. Infection is favored by warm, humid conditions and is often worse where pruning wounds and dead wood provide entry points.",Prune out dead wood and cankers during dry weather; disinfect tools between trees; Remove mummified fruit from the canopy and ground; Improve canopy ventilation through pruning and spacing; Avoid tree stress with balanced nutrition and irrigation management; Use labeled fungicides timed around bloom and pre-harvest in high-pressure seasons,Prune out cankers; remove mummified fruit; sanitize tools; apply appropriate fungicides timed to infection periods; maintain tree vigor and avoid wounding.
Grape Esca (Black Measles),"Esca, also called Black Measles, is a complex of trunk diseases in grapevines associated with multiple fungi that colonize woody tissue. Symptoms include tiger-stripe patterns on leaves, berry spotting and shriveling, and chronic decline or sudden vine collapse (apoplexy). Infections often enter through pruning wounds and develop over years, reducing vine vigor and productivity. Stress from drought or heavy cropping can exacerbate symptom expression.",Use trunk disease management practices such as delayed pruning and double pruning; Protect pruning wounds with labeled sealants or biological protectants; Remove and destroy infected wood; retrain vines from healthy tissue when possible; Reduce vine stress with balanced irrigation and crop load management; Sanitize pruning tools and avoid pruning during wet periods,"No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Grape Leaf blight (Isariopsis Leaf Spot),"Grape leaf blight, often referred to as Isariopsis leaf spot, causes angular to irregular lesions that can turn brown and lead to premature defoliation. Reduced leaf area weakens vines, affects fruit ripening, and can lower yield and winter hardiness. Disease development is favored by warm, humid conditions and prolonged leaf wetness, with spores spreading by rain splash and wind-driven moisture within dense canopies.","Improve canopy airflow through pruning, shoot thinning, and leaf removal; Avoid overhead irrigation and manage row orientation to enhance drying; Remove infected leaves and debris where practical to reduce inoculum; Use labeled fungicide programs timed to periods of wet weather; Maintain balanced vine nutrition to support recovery and reduce stress","Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Grape healthy,"Grape is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Orange Haunglongbing (Citrus greening),"Huanglongbing (HLB), or citrus greening, is a destructive bacterial disease caused by Candidatus Liberibacter species and spread by the Asian citrus psyllid. Trees show blotchy mottled leaves, yellow shoots, lopsided bitter fruit, and progressive canopy thinning leading to decline. Because the bacterium is systemic, infected trees often become unproductive. Disease spread is driven by psyllid movement and the presence of infected planting material.",Plant certified disease-free nursery trees and avoid moving untested plant material; Aggressively manage Asian citrus psyllid with integrated pest management and labeled insecticides; Remove severely infected trees to reduce sources for psyllids where recommended locally; Maintain tree health with balanced nutrition and irrigation to slow decline; Coordinate area-wide control with neighboring growers to reduce reinfestation,"Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Peach Bacterial spot,"Bacterial spot is caused by Xanthomonas species and affects several crops including tomato, pepper, and stone fruits. Symptoms include small, water-soaked leaf lesions that turn dark and may be surrounded by yellow halos, leading to defoliation; fruit can develop scabby, raised spots that reduce marketability. The bacteria spread by splashing water, tools, and contaminated seed or transplants, and outbreaks are favored by warm, wet weather and overhead irrigation.","Use certified disease-free seed and transplants; consider hot-water seed treatment where appropriate; Avoid overhead irrigation and work in fields only when foliage is dry; Rotate away from susceptible hosts and control volunteer plants and solanaceous weeds; Apply copper-based bactericides preventively, often with labeled partners to reduce resistance risk; Sanitize tools and greenhouse surfaces and ensure good spacing for airflow",Remove infected debris; avoid working plants when wet; use clean seed/transplants; copper-based bactericides may suppress spread; rotate crops and manage weeds/volunteers.
Peach healthy,"Peach is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Pepper bell Bacterial spot,"Bacterial spot is caused by Xanthomonas species and affects several crops including tomato, pepper, and stone fruits. Symptoms include small, water-soaked leaf lesions that turn dark and may be surrounded by yellow halos, leading to defoliation; fruit can develop scabby, raised spots that reduce marketability. The bacteria spread by splashing water, tools, and contaminated seed or transplants, and outbreaks are favored by warm, wet weather and overhead irrigation.","Use certified disease-free seed and transplants; consider hot-water seed treatment where appropriate; Avoid overhead irrigation and work in fields only when foliage is dry; Rotate away from susceptible hosts and control volunteer plants and solanaceous weeds; Apply copper-based bactericides preventively, often with labeled partners to reduce resistance risk; Sanitize tools and greenhouse surfaces and ensure good spacing for airflow",Remove infected debris; avoid working plants when wet; use clean seed/transplants; copper-based bactericides may suppress spread; rotate crops and manage weeds/volunteers.
Pepper bell healthy,"Pepper bell is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Potato Early blight,"Early blight, caused by Alternaria solani, is a common disease of tomato and potato characterized by dark, concentric ‘target’ lesions on older leaves and stems. Leaf yellowing and defoliation can progress upward, exposing fruit or tubers to sunscald and reducing yield. The fungus survives on crop debris and can be seedborne, spreading via wind, rain splash, and contaminated equipment. Warm temperatures and leaf wetness favor rapid disease development.","Rotate crops for 2–3 years away from solanaceous hosts and remove infected debris; Use disease-free seed/transplants and resistant or tolerant varieties when available; Mulch and irrigate at the base to reduce soil splash and leaf wetness; Maintain balanced fertility, especially adequate potassium, to reduce plant stress; Apply labeled fungicides preventively or at first symptoms, rotating modes of action",Remove lower infected leaves; mulch to reduce soil splash; ensure adequate potassium; apply labeled protectant fungicides as needed; rotate crops and manage volunteer plants.
Potato Late blight,"Late blight, caused by Phytophthora infestans, is a fast-moving disease of potato and tomato that can devastate foliage and infect tubers. Lesions are water-soaked and quickly turn brown to black, often with a pale border and white sporulation on undersides under humid conditions. Cool, wet weather and long periods of leaf wetness drive explosive epidemics. The pathogen can be introduced via infected seed tubers, transplants, or nearby cull piles.","Plant certified seed and destroy cull piles and volunteers that can harbor the pathogen; Scout frequently and remove infected plants promptly where feasible; Use resistant varieties and avoid overhead irrigation; promote rapid canopy drying; Apply protective fungicides before conducive weather and tighten intervals during outbreaks; For potatoes, manage vine kill timing and harvest/storage practices to limit tuber infection",Immediately remove and destroy infected plants; avoid overhead irrigation; apply labeled late-blight fungicides preventatively in outbreaks; do not compost infected material; plant certified seed/tubers.
Potato healthy,"Potato is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Raspberry healthy,"Raspberry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Soybean healthy,"Soybean is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Squash Powdery mildew,"Powdery mildew is a fungal disease caused by several species that forms a white, powdery growth on leaves, shoots, and sometimes fruit. Infected leaves may curl, become distorted, and senesce early, reducing photosynthesis and yield. Unlike many foliar fungi, powdery mildew can develop under moderate humidity without free water and often worsens in dense canopies with poor airflow. Susceptible varieties and repeated flushes of tender growth increase risk.","Choose resistant varieties when available and avoid excessive nitrogen that drives lush growth; Prune or thin plants to improve airflow and light penetration; Remove heavily infected plant parts early to reduce spore sources; Use sulfur, potassium bicarbonate, or labeled fungicides preventively when disease pressure rises; Irrigate at the base and manage humidity in protected cultivation",Remove heavily infected tissue; improve airflow; avoid excess nitrogen; apply labeled sulfur or potassium bicarbonate products; rotate fungicide modes of action if fungicides are used.
Strawberry Leaf scorch,"Strawberry leaf scorch, commonly caused by the fungus Diplocarpon earlianum, produces small purple to dark spots that enlarge and coalesce, giving leaves a scorched appearance. Severely affected leaves may curl and die back, reducing plant vigor and berry yield. The pathogen overwinters on infected leaves and spreads by rain splash and overhead irrigation. Warm, wet conditions and dense canopies favor repeated infection cycles during the growing season.","Renovate plantings and remove old infected leaves and debris after harvest; Improve airflow with proper spacing and weed management; Avoid overhead irrigation or irrigate early to reduce leaf wetness; Use resistant varieties when available and start with clean nursery plants; Apply labeled fungicides if disease pressure is high, rotating modes of action","Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Strawberry healthy,"Strawberry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Tomato Bacterial spot,"Bacterial spot is caused by Xanthomonas species and affects several crops including tomato, pepper, and stone fruits. Symptoms include small, water-soaked leaf lesions that turn dark and may be surrounded by yellow halos, leading to defoliation; fruit can develop scabby, raised spots that reduce marketability. The bacteria spread by splashing water, tools, and contaminated seed or transplants, and outbreaks are favored by warm, wet weather and overhead irrigation.","Use certified disease-free seed and transplants; consider hot-water seed treatment where appropriate; Avoid overhead irrigation and work in fields only when foliage is dry; Rotate away from susceptible hosts and control volunteer plants and solanaceous weeds; Apply copper-based bactericides preventively, often with labeled partners to reduce resistance risk; Sanitize tools and greenhouse surfaces and ensure good spacing for airflow",Remove infected debris; avoid working plants when wet; use clean seed/transplants; copper-based bactericides may suppress spread; rotate crops and manage weeds/volunteers.
Tomato Early blight,"Early blight, caused by Alternaria solani, is a common disease of tomato and potato characterized by dark, concentric ‘target’ lesions on older leaves and stems. Leaf yellowing and defoliation can progress upward, exposing fruit or tubers to sunscald and reducing yield. The fungus survives on crop debris and can be seedborne, spreading via wind, rain splash, and contaminated equipment. Warm temperatures and leaf wetness favor rapid disease development.","Rotate crops for 2–3 years away from solanaceous hosts and remove infected debris; Use disease-free seed/transplants and resistant or tolerant varieties when available; Mulch and irrigate at the base to reduce soil splash and leaf wetness; Maintain balanced fertility, especially adequate potassium, to reduce plant stress; Apply labeled fungicides preventively or at first symptoms, rotating modes of action",Remove lower infected leaves; mulch to reduce soil splash; ensure adequate potassium; apply labeled protectant fungicides as needed; rotate crops and manage volunteer plants.
Tomato Late blight,"Late blight, caused by Phytophthora infestans, is a fast-moving disease of potato and tomato that can devastate foliage and infect tubers. Lesions are water-soaked and quickly turn brown to black, often with a pale border and white sporulation on undersides under humid conditions. Cool, wet weather and long periods of leaf wetness drive explosive epidemics. The pathogen can be introduced via infected seed tubers, transplants, or nearby cull piles.","Plant certified seed and destroy cull piles and volunteers that can harbor the pathogen; Scout frequently and remove infected plants promptly where feasible; Use resistant varieties and avoid overhead irrigation; promote rapid canopy drying; Apply protective fungicides before conducive weather and tighten intervals during outbreaks; For potatoes, manage vine kill timing and harvest/storage practices to limit tuber infection",Immediately remove and destroy infected plants; avoid overhead irrigation; apply labeled late-blight fungicides preventatively in outbreaks; do not compost infected material; plant certified seed/tubers.
Tomato Leaf Mold,"Tomato leaf mold, caused by Passalora fulva (Fulvia fulva), thrives in humid, poorly ventilated environments such as greenhouses and high tunnels. Pale yellow spots form on upper leaf surfaces, while olive-green to brown velvety mold develops on the undersides. Severe infections lead to leaf drop and reduced fruit yield and quality. The fungus survives on crop debris and structures and spreads via airborne spores when humidity remains high.","Reduce humidity with ventilation, heating, and wider plant spacing; avoid wet foliage overnight; Remove lower infected leaves and sanitize greenhouse structures between crops; Use resistant tomato varieties when available; Water at the base and schedule irrigation early in the day to speed drying; Apply labeled fungicides preventively in protected cultivation when conditions favor disease",Reduce humidity and leaf wetness; prune for airflow; remove infected leaves; apply labeled fungicides if needed; avoid dense canopy.
Tomato Septoria leaf spot,"Septoria leaf spot of tomato, caused by Septoria lycopersici, begins as small, circular spots with dark margins and tan centers that often contain tiny black fruiting bodies. It typically starts on lower leaves and moves upward, causing yellowing and heavy defoliation that reduces yield and exposes fruit. The pathogen survives on crop residue and spreads mainly by rain splash, irrigation, and handling of wet plants. Warm, wet conditions accelerate disease.",Remove infected lower leaves and keep foliage off the soil using stakes or trellises; Mulch and avoid overhead irrigation to reduce splash dispersal; Rotate out of tomatoes and related hosts for at least 2 years and remove crop debris; Apply labeled protectant fungicides when disease is first detected and continue as needed; Improve spacing and airflow to reduce leaf wetness duration,Remove infected lower leaves; improve airflow; avoid overhead watering; apply labeled fungicides if needed; rotate crops and sanitize stakes/cages.
Tomato Spider mites Two-spotted spider mite,"Two-spotted spider mites (Tetranychus urticae) are sap-feeding pests that cause stippling, bronzing, and leaf drop, and can be mistaken for disease at early stages. Fine webbing may appear on leaf undersides and between petioles during heavy infestations. Mites reproduce rapidly in hot, dry conditions and outbreaks often follow broad-spectrum insecticide use that reduces natural enemies. Damage reduces photosynthesis and can lead to yield and quality losses.",Scout leaf undersides regularly and manage dust and drought stress to reduce flare-ups; Conserve or release beneficial predators such as Phytoseiulus and other predatory mites; Use selective miticides when thresholds are exceeded and rotate modes of action to slow resistance; Avoid unnecessary broad-spectrum insecticides that disrupt natural enemies; Maintain adequate irrigation and humidity management in protected systems,"Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Tomato Target Spot,"Target spot of tomato, caused by Corynespora cassiicola, produces brown lesions with concentric rings that can expand and cause blighting and defoliation. Fruit lesions may occur, reducing marketability. The disease is favored by warm temperatures and high humidity, with spores dispersed by wind and splashing water. Dense canopies and prolonged leaf wetness increase severity, especially in regions with frequent rainfall or in protected cultivation.","Increase airflow with pruning, staking, and appropriate plant spacing; Avoid overhead irrigation and irrigate early to reduce leaf wetness duration; Remove crop residues and rotate away from susceptible hosts where practical; Use labeled fungicides preventively and rotate FRAC groups to manage resistance; Reduce humidity in greenhouses/high tunnels through ventilation","Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Tomato Yellow Leaf Curl Virus,"Tomato yellow leaf curl virus (TYLCV) is a serious viral disease transmitted primarily by the silverleaf whitefly (Bemisia tabaci). Infected plants show upward curling, yellowing, and thickening of young leaves, along with stunting and poor fruit set. Because it is a virus, symptoms do not respond to fungicides or bactericides, and early infection can eliminate yield. Disease spread is driven by whitefly pressure and infected host plants nearby.","Use resistant or tolerant tomato varieties and start with clean, virus-free transplants; Manage whiteflies with insect exclusion screens, reflective mulches, and labeled insecticides; Remove infected plants early to reduce virus sources and control weeds that host whiteflies; Use yellow sticky traps and regular scouting to guide control decisions; Implement strict sanitation in greenhouses and avoid overlapping crops",Rogue infected plants early; aggressively control whiteflies; use reflective mulches and insect exclusion; plant resistant varieties where available.
Tomato mosaic virus,"Tomato mosaic virus (ToMV) is a mechanically transmitted virus that causes mottling, mosaic patterns, leaf distortion, and reduced vigor in tomatoes and related crops. Fruit may be unevenly ripened or malformed, reducing quality. The virus is extremely stable and can persist on hands, tools, stakes, and plant debris, spreading easily during pruning and handling. Infections are often introduced through contaminated seed, transplants, or equipment.","Use certified virus-free seed and transplants and choose resistant varieties when available; Disinfect tools, stakes, and hands; avoid handling plants when working tobacco products; Rogue and destroy symptomatic plants promptly to limit spread; Control weeds and volunteer solanaceous hosts that can harbor the virus; Avoid saving seed from infected fields and sanitize greenhouse surfaces between cycles",Remove infected plants promptly; control aphids and other vectors; disinfect tools; use virus-free seed/transplants; control weeds that host the virus.
Tomato healthy,"Tomato is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
